Iteracion,Error
1271,1.45681
1272,1.44539
1273,1.45057
1274,1.43892
1275,1.44191
1276,1.42607
1277,1.43679
1278,1.42264
1279,1.42513
1280,1.41973
1281,1.4186
1282,1.41738
1283,1.41561
1284,1.41311
1285,1.41398
1286,1.41593
1287,1.4077
1288,1.41889
1289,1.41026
1290,1.42053
1291,1.41072
1292,1.41907
1293,1.41534
1294,1.42698
1295,1.41472
1296,1.42529
1297,1.42489
1298,1.43033
1299,1.4336
1300,1.427
1301,1.43896
1302,1.43796
1303,1.44507
1304,1.43662
1305,1.45033
1306,1.443
1307,1.45933
1308,1.44825
1309,1.45891
1310,1.45701
1311,1.46409
1312,1.46373
1313,1.46943
1314,1.46592
1315,1.47263
1316,1.47511
1317,1.47401
1318,1.4798
1319,1.47331
1320,1.48399
1321,1.4781
1322,1.4869
1323,1.47857
1324,1.4893
1325,1.47477
1326,1.48933
1327,1.47582
1328,1.48298
1329,1.47201
1330,1.47472
1331,1.47033
1332,1.46868
1333,1.46279
1334,1.45854
1335,1.45634
1336,1.44916
1337,1.45267
1338,1.43605
1339,1.4376
1340,1.4243
1341,1.42853
1342,1.41362
1343,1.4131
1344,1.39502
1345,1.39911
1346,1.38087
1347,1.38407
1348,1.36313
1349,1.36123
1350,1.34754
1351,1.34417
1352,1.32874
1353,1.32122
1354,1.30751
1355,1.29767
1356,1.28978
1357,1.27486
1358,1.26914
1359,1.24895
1360,1.24711
1361,1.22828
1362,1.2251
1363,1.20508
1364,1.20035
1365,1.17851
1366,1.17802
1367,1.15668
1368,1.15235
1369,1.13194
1370,1.12551
1371,1.10986
1372,1.10472
1373,1.08749
1374,1.07934
1375,1.06319
1376,1.05685
1377,1.04512
1378,1.03205
1379,1.02219
1380,1.00682
1381,1.00102
1382,0.988049
1383,0.980746
1384,0.963612
1385,0.959534
1386,0.941517
1387,0.941773
1388,0.923301
1389,0.92
1390,0.903393
1391,0.899892
1392,0.886335
1393,0.884145
1394,0.868413
1395,0.86535
1396,0.850163
1397,0.848531
1398,0.8373
1399,0.831114
1400,0.819392
1401,0.812219
1402,0.802341
1403,0.798357
1404,0.787871
1405,0.779188
1406,0.771897
1407,0.761829
1408,0.759596
1409,0.748599
1410,0.743101
1411,0.732007
1412,0.728064
1413,0.718215
1414,0.717083
1415,0.702665
1416,0.700453
1417,0.687358
1418,0.686193
1419,0.676118
1420,0.672438
1421,0.659851
1422,0.656804
1423,0.645041
1424,0.645193
1425,0.633052
1426,0.629754
1427,0.617645
1428,0.613969
1429,0.605276
1430,0.602055
1431,0.590959
1432,0.586196
1433,0.575535
1434,0.572035
1435,0.564994
1436,0.557745
1437,0.550357
1438,0.541737
1439,0.53576
1440,0.530365
1441,0.524076
1442,0.51633
1443,0.509779
1444,0.501006
1445,0.498295
1446,0.490465
1447,0.486416
1448,0.477162
1449,0.471893
1450,0.464257
1451,0.462143
1452,0.452922
1453,0.450374
1454,0.439196
1455,0.437512
1456,0.429329
1457,0.427793
1458,0.418925
1459,0.415964
1460,0.406706
1461,0.406164
1462,0.398486
1463,0.397462
1464,0.389218
1465,0.38664
1466,0.380258
1467,0.379151
1468,0.372904
1469,0.370734
1470,0.363368
1471,0.361926
1472,0.356585
1473,0.355575
1474,0.350272
1475,0.347878
1476,0.342925
1477,0.341734
1478,0.338133
1479,0.336836
1480,0.332884
1481,0.330648
1482,0.327887
1483,0.326361
1484,0.324675
1485,0.322474
1486,0.320539
1487,0.318273
1488,0.317237
1489,0.31552
1490,0.314744
1491,0.312529
1492,0.312031
1493,0.309948
1494,0.310285
1495,0.308024
1496,0.308584
1497,0.306225
1498,0.307174
1499,0.304949
1500,0.306216
1501,0.303776
1502,0.305669
1503,0.303225
1504,0.305571
1505,0.303048
1506,0.305327
1507,0.303386
1508,0.305828
1509,0.304337
1510,0.306678
1511,0.304756
1512,0.307606
1513,0.305935
1514,0.309187
1515,0.307378
1516,0.309877
1517,0.308299
1518,0.311382
1519,0.310225
1520,0.31377
1521,0.311554
1522,0.315118
1523,0.31333
1524,0.317432
1525,0.316627
1526,0.319944
1527,0.318704
1528,0.322037
1529,0.321243
1530,0.325579
1531,0.324572
1532,0.328011
1533,0.326687
1534,0.33008
1535,0.330003
1536,0.333639
1537,0.333283
1538,0.336743
1539,0.335682
1540,0.340197
1541,0.33966
1542,0.344051
1543,0.343699
1544,0.347123
1545,0.347198
1546,0.351021
1547,0.351392
1548,0.355406
1549,0.355263
1550,0.359165
1551,0.359381
1552,0.3632
1553,0.364037
1554,0.367713
1555,0.368236
1556,0.372357
1557,0.372557
1558,0.377281
1559,0.377751
1560,0.382509
1561,0.383422
1562,0.387547
1563,0.388513
1564,0.392865
1565,0.393613
1566,0.398365
1567,0.398556
1568,0.402132
1569,0.401909
1570,0.404105
1571,0.403636
1572,0.404298
1573,0.401319
1574,0.400314
1575,0.394559
1576,0.392858
1577,0.386601
1578,0.384004
1579,0.378829
1580,0.377165
1581,0.376071
1582,0.380125
1583,0.384599
1584,0.395843
1585,0.405135
1586,0.420977
1587,0.432628
1588,0.445737
1589,0.450272
1590,0.447839
1591,0.43307
1592,0.411027
1593,0.379199
1594,0.348197
1595,0.313774
1596,0.286383
1597,0.261308
1598,0.244684
1599,0.232892
1600,0.228046
1601,0.226703
1602,0.230737
1603,0.23609
1604,0.24629
1605,0.25667
1606,0.271013
1607,0.284258
1608,0.29811
1609,0.307383
1610,0.314047
1611,0.31376
1612,0.313077
1613,0.308317
1614,0.308476
1615,0.308779
1616,0.315159
1617,0.32123
1618,0.329151
1619,0.331068
1620,0.331883
1621,0.325696
1622,0.324034
1623,0.321054
1624,0.326136
1625,0.329792
1626,0.334182
1627,0.330949
1628,0.323721
1629,0.311601
1630,0.303496
1631,0.296128
1632,0.29583
1633,0.292148
1634,0.289506
1635,0.279488
1636,0.27023
1637,0.259193
1638,0.25328
1639,0.247401
1640,0.24481
1641,0.23857
1642,0.234181
1643,0.22728
1644,0.223938
1645,0.218893
1646,0.21549
1647,0.209214
1648,0.205742
1649,0.202049
1650,0.20274
1651,0.200797
1652,0.198901
1653,0.192999
1654,0.189657
1655,0.187605
1656,0.189332
1657,0.188666
1658,0.187255
1659,0.182283
1660,0.181298
1661,0.180598
1662,0.182586
1663,0.180177
1664,0.177457
1665,0.174569
1666,0.175872
1667,0.177159
1668,0.176847
1669,0.172375
1670,0.169465
1671,0.168606
1672,0.171115
1673,0.170632
1674,0.168507
1675,0.164432
1676,0.163785
1677,0.163324
1678,0.163691
1679,0.161701
1680,0.160826
1681,0.159492
1682,0.158248
1683,0.156084
1684,0.155434
1685,0.156212
1686,0.15664
1687,0.154105
1688,0.151282
1689,0.150692
1690,0.152917
1691,0.153317
1692,0.151006
1693,0.148657
1694,0.149171
1695,0.15079
1696,0.150112
1697,0.148317
1698,0.147576
1699,0.148762
1700,0.148483
1701,0.147342
1702,0.146602
1703,0.147473
1704,0.147276
1705,0.146341
1706,0.145755
1707,0.146518
1708,0.145557
1709,0.144495
1710,0.143847
1711,0.145423
1712,0.144021
1713,0.141977
1714,0.140508
1715,0.142519
1716,0.142051
1717,0.140005
1718,0.137473
1719,0.138422
1720,0.138117
1721,0.137052
1722,0.135139
1723,0.134996
1724,0.13339
1725,0.132389
1726,0.131467
1727,0.131817
1728,0.128844
1729,0.12739
1730,0.126839
1731,0.127812
1732,0.124865
1733,0.122733
1734,0.122264
1735,0.122851
1736,0.120603
1737,0.11887
1738,0.117954
1739,0.117437
1740,0.115535
1741,0.115014
1742,0.114261
1743,0.112416
1744,0.110534
1745,0.110711
1746,0.109882
1747,0.107849
1748,0.106221
1749,0.106662
1750,0.105114
1751,0.102969
1752,0.10221
1753,0.102041
1754,0.100389
1755,0.0984461
1756,0.0981695
1757,0.0970929
1758,0.0953878
1759,0.0944527
1760,0.0940518
1761,0.0922227
1762,0.091156
1763,0.0906426
1764,0.0895599
1765,0.0875137
1766,0.087348
1767,0.0870663
1768,0.0850396
1769,0.0835051
1770,0.0836419
1771,0.082892
1772,0.0813876
1773,0.0803507
1774,0.0801519
1775,0.0787053
1776,0.0783515
1777,0.0777092
1778,0.076503
1779,0.0755306
1780,0.0759143
1781,0.0748434
1782,0.073283
1783,0.0729786
1784,0.0734158
1785,0.0720716
1786,0.0710661
1787,0.0709328
1788,0.0702918
1789,0.0697534
1790,0.0694164
1791,0.0685584
1792,0.0677203
1793,0.0678445
1794,0.0674559
1795,0.0659509
1796,0.0658277
1797,0.0660598
1798,0.0649562
1799,0.0641009
1800,0.0639531
1801,0.0634911
1802,0.0627668
1803,0.0625029
1804,0.0616579
1805,0.060998
1806,0.0608653
1807,0.0603084
1808,0.059002
1809,0.0592233
1810,0.058688
1811,0.0577474
1812,0.0570979
1813,0.0570205
1814,0.0561428
1815,0.0556592
1816,0.0552951
1817,0.0544403
1818,0.0538062
1819,0.0536282
1820,0.0526242
1821,0.0521185
1822,0.0518946
1823,0.0510285
1824,0.0503134
1825,0.0501783
1826,0.0494584
1827,0.0487692
1828,0.0485686
1829,0.0480689
1830,0.0471644
1831,0.0470336
1832,0.0464428
1833,0.0458652
1834,0.045714
1835,0.045028
1836,0.0444735
1837,0.0443417
1838,0.0438068
1839,0.0430483
1840,0.0430906
1841,0.0426813
1842,0.0419883
1843,0.0416748
1844,0.0414643
1845,0.0408403
1846,0.0407957
1847,0.0401517
1848,0.039788
1849,0.039772
1850,0.0392099
1851,0.038591
1852,0.0387692
1853,0.0384361
1854,0.0378234
1855,0.0376503
1856,0.0374768
1857,0.0370388
1858,0.0369149
1859,0.036419
1860,0.0362111
1861,0.036249
1862,0.0355892
1863,0.0352396
1864,0.0354997
1865,0.0350097
1866,0.0346217
1867,0.0345932
1868,0.034304
1869,0.034025
1870,0.033875
1871,0.0334627
1872,0.0334074
1873,0.0332967
1874,0.0326502
1875,0.0326033
1876,0.032648
1877,0.0320743
1878,0.0319579
1879,0.0318951
1880,0.0314597
1881,0.0314119
1882,0.0310818
